y_true,y_cal
56.69930000000001,54.99936898465594
57.58912280701756,55.267299037050115
57.081684210526326,54.32144514493268
56.22989473684211,53.029010446343435
55.43803508771931,51.79011515617255
54.50715789473684,50.73625642502387
53.78578947368421,49.87849249107775
52.13698245614035,49.18006494152891
51.03073684210526,48.58868208402791
50.68,48.051679568424
50.34031578947369,47.52447312051287
49.84,46.976390456845856
49.771719298245614,46.3953039409259
49.29080701754386,45.791474412527556
48.809894736842104,45.20077012790592
48.32898245614035,44.68756352538814
48.16,44.34790480270162
47.92715789473684,44.313714949138195
47.59999999999999,44.75795159160899
47.52533333333332,45.89669706829493
