y_true,y_cal,y_pred
103.71999995411112,92.92061726488716,101.308136
107.37418283069748,96.946822445421,101.78822
108.3885872616778,99.07007157234864,101.497536
108.211855953511,98.92026412091322,100.25591
107.23689750609944,96.87118113941344,98.23481
105.40919668722027,93.81208296564792,95.71677
103.02592799538708,90.55491489081416,92.877174
100.58991691151073,87.54146084364447,89.975365
96.92664815330572,84.90938427497944,87.22895
94.06160662555942,82.6429184197718,84.70814
91.76975068446946,80.67595168717212,82.41977
90.14160665040151,78.94243823432465,80.33504
87.79091414452428,77.39595685009665,78.398926
86.62515237191194,76.01429511424965,76.583435
85.31346261142193,74.79737592092218,74.89366
84.69717451093454,73.76251378968824,73.36019
84.48,72.93887247224936,72.02959
84.29806094131214,72.36195984842489,70.95931
84.16,72.06843180841908,70.2143
84.16,72.09110882944721,69.86501
