y_true,y_pred,y_cal
21.274956,22.48938,24.360416355431276
22.310883,24.048378,26.807804169835077
23.077843,25.469772,28.502532951752844
22.779655,26.013329,29.509085284051423
21.81112,25.843864,29.933898092690427
20.993057,25.232582,29.89732635014336
20.612389,24.455864,29.51514100853394
20.428276,23.683014,28.88838488070964
20.175507,22.971489,28.09950627984504
19.757973,22.339691,27.21273336406225
19.348907,21.809898,26.277066516348462
19.113464,21.387665,25.330728884580243
19.025665,21.051552,24.406285625079324
18.960167,20.771355,23.535897908827707
18.825195,20.524017,22.75637199245989
18.662537,20.300766,22.113896060296582
18.569328,20.10717,21.66874130354433
18.52536,19.962448,21.500832045809894
18.478245,19.89595,21.7180256612942
18.443115,19.94312,22.470276050532423
