Temperature (K),Strain rate (s^-1),RMSE_pred,RMSE_cal,nn_pred,svm_pred
573,0.01,142.5844327,329.0794181,196.1657867,220.7742238
633,0.01,13.99787383,10.40320757,7.21930027,30.51755877
693,0.01,9.330570868,0.922491466,87.01364136,29.87622004
753,0.01,1.32445198,0.795104223,171.4287567,134.1792186
573,0.1,14.73876491,24.41416108,102.2254868,7.837780188
633,0.1,7.356032787,2.765731692,22.23210907,1.684990342
693,0.1,2.385810468,4.839726081,7.545649529,63.57683105
753,0.1,0.161093574,0.540730359,41.72182846,9.697589105
573,1,47.96843956,286.311319,6.399655342,1.627471497
633,1,1.223661383,28.27723926,9.85875988,22.0533281
693,1,4.145674473,3.410593312,10.58529854,16.29179507
753,1,2.110598547,8.804645459,19.19235611,23.6040911
573,10,2060.173196,9252.958803,25.69655418,176.8116827
633,10,12.59119306,21.22457343,1.651352525,1.775420731
693,10,14.20570846,29.90018015,2.973957539,38.79729389
753,10,3.254978823,1.270999319,25.16292191,8.114970783
