y_true,y_pred,y_cal
152.6363,135.57196,129.91621710433344
158.35832,145.92581,141.79389341067562
165.63062,154.8735,151.23093341129595
171.9203,162.34097,158.64701492280707
177.12967,168.2568,164.4728680000934
181.1346,172.9448,169.07701004361664
183.8551,176.6902,172.73772858144733
185.67154,179.65533,175.6475635963034
187.00803,181.9257,177.93568742768275
188.08134,183.57764,179.6944174174303
188.768,184.83429,181.00025098071168
189.05635,185.89357,181.92592884726216
189.3446,186.6268,182.5452282394207
189.74246,186.89825,182.93461078177648
190.04095,186.82018,183.175860231674
190.36859,186.66885,183.3630098740531
190.93793,186.7116,183.6165745395324
191.66034,187.1278,184.10913047989183
192.38954,188.05298,185.10896836013285
192.85672,189.64417,187.0528831928888
