y_true,y_cal,y_pred
132.2572220142558,133.72909270978,150.60443
151.95923067599978,153.20413114929056,158.81242
168.2496666986403,169.10242593645188,163.83904
180.811357485122,180.772198644087,169.24962
189.39440450432647,188.1833173578161,174.96631
193.72180057170675,191.7915738169868,180.18916
193.8221468133445,192.3071834302148,184.64532
190.98326870515177,190.4757457746256,187.94223
186.00444601844583,186.94591598724915,189.75568
180.44700836761857,182.23060838399616,189.95848
174.88957071679124,176.72550692362958,188.61792
169.3321329887182,170.7457033145515,185.83292
163.77469522315238,164.55793550734742,181.6816
158.5575622865112,158.40171042636132,176.30739
154.01541549449826,152.5009337830299,169.9668
147.87180055304165,147.07016222770395,163.06677
143.13051248210022,142.31933435430085,156.10336
139.37833797934388,138.459872044284,149.54825
135.74114962121584,135.7143050214701,143.76877
133.02947369431496,134.3313838205754,139.01231
