y_true,y_cal,y_pred
103.71999995411112,99.419146192252,113.5183
107.37418283069748,108.42451105181112,116.47551
108.3885872616778,113.47272887342808,117.96889
108.211855953511,114.94179817691354,118.355446
107.23689750609944,113.85242519144484,117.79848
105.40919668722027,111.36982771798888,116.54779
103.02592799538708,108.37246607256394,114.74849
100.58991691151073,105.3305183091847,112.53109
96.92664815330572,102.41148359564028,110.01993
94.06160662555942,99.63032352183102,107.29794
91.76975068446946,96.9545579967278,104.426414
90.14160665040151,94.35758638405734,101.43306
87.79091414452428,91.83855664457556,98.33435
86.62515237191194,89.42531512651676,95.18336
85.31346261142193,87.17059179226422,92.06053
84.69717451093454,85.14686204194076,89.065155
84.48,83.4425875451877,86.303604
84.29806094131214,82.16109810352596,83.8809
84.16,81.42274588889342,81.89543
84.16,81.37089847810365,80.43736
