y_true,y_pred,y_cal
83.67881,84.839424,83.35146811702249
84.27094,84.87909,88.37952942957888
84.4652,85.297104,89.89192185603156
83.76573,84.62002,89.1207774499289
82.3539,83.20152,87.20480596692067
80.60005,81.3508,84.86645495708048
78.84401,79.47418,82.47536612144339
77.28488,77.7948,80.19098304180156
75.8929,76.38084,78.06537482402923
74.5392,75.19072,76.10193873374328
73.277145,74.1514,74.28777944328084
72.2553,73.18607,72.61281149588217
71.35677,72.239204,71.08242444339876
70.41318,71.301636,69.72692919175628
69.3861,70.392586,68.60927369535477
68.357834,69.5506,67.83163556457731
67.45893,68.82829,67.54042535662154
66.68184,68.29007,67.92624850697571
66.060234,68.008896,69.20703760296266
65.71759,68.06384,71.56486853537058
