y_true,y_cal,y_pred
93.81825004415006,115.39665195415128,109.877365
104.36884601041864,129.64990775032553,117.189705
113.23125004528828,139.34083364091023,122.920715
119.51052637398158,144.54359590139757,128.06845
123.47763157750856,146.1520774239121,130.8447
124.92,145.35233975181143,131.0685
124.19881576765164,143.16681809591253,129.57895
121.45263159173685,140.27906104944077,127.1957
117.93552634336676,137.07296289612225,124.38342
114.26210523821842,133.73978451706293,121.35961
110.18131581265462,130.36947867202045,118.25739
106.9105263436066,127.00783326604828,115.162704
104.80026315165988,123.68734481656526,112.13964
102.69000001103092,120.44319787932122,109.26727
100.46960522359046,117.32225615328214,106.618195
97.41789473684211,114.38910927273056,104.25867
95.61907897338702,111.73062901150512,102.25357
93.19263156551844,109.45934631180288,100.67123
91.78578947784078,107.71602815298888,99.58554
90.37894739016316,106.67263646662916,99.07706
