y_true,y_cal,y_pred
36.8549999889375,38.10274849652859,35.828644
35.47499998602632,35.87610660019281,34.38308
33.93789473095845,33.84891133950674,32.885353
32.827105264383654,32.27722654012267,31.448158
31.935789480548472,31.18635343616936,30.16497
30.91105264383656,30.48456162751045,29.100296
30.02526317260388,30.05147705019514,28.38565
29.38052631805713,29.776956852641813,28.04995
29.038947359268697,29.573322589073904,28.056824
28.69736841369806,29.37768158867188,28.290382
28.25368420219113,29.151094567382625,28.689903
27.774210522556785,28.87655714130325,29.192986
27.43263157698615,28.55617530218427,29.705696
27.36,28.20761680067975,30.23014
27.22947368584488,27.86000955110048,30.71772
26.88789474027424,27.54956302411637,31.137756
26.88,27.315166669670568,31.503601
26.88,27.194031534744752,31.78051
26.85157895067798,27.217091725795857,31.979172
26.68078947126333,27.403377585732045,32.10422
26.64,27.75189298205872,32.1446
26.57921052410942,28.228656323540157,32.122528
26.408421051324098,28.7457586107818,32.036705
26.4,29.13034565762677,31.91003
26.4,29.09136099264277,31.74142
26.4,28.225173438924852,31.55014
26.4,26.146021275256423,31.363396
26.274473687397503,22.75799114607545,31.166138
26.216315787573752,18.434153047279068,31.016525
26.3871052669884,13.857919496740967,30.908749
26.4,9.681485940068049,30.827026
