strain,stress
0.002,68.96523879
0.004,91.12983635
0.006,116.8714074
0.008,144.2251356
0.01,171.7423644
0.012,198.3902524
0.014,223.4671156
0.016,246.531433
0.018,267.3427066
0.02,285.812567
0.022,301.9646956
0.024,315.902295
0.026,327.7819929
0.028,337.7931928
0.03,346.1420094
0.032,353.039035
0.034,358.6902794
0.036,363.2907145
0.038,367.0199341
0.04,370.0395066
0.042,372.4916628
0.044,374.4990141
0.046,376.165046
0.048,377.5751736
0.05,378.7981836
0.052,379.8879185
0.054,380.8850894
0.056,381.819124
0.058,382.7099822
0.06,383.5698843
0.062,384.4049146
0.064,385.2164765
0.066,386.0025809
0.068,386.758964
0.07,387.4800322
0.072,388.1596405
0.074,388.7917121
0.076,389.3707123
0.078,389.8919897
0.08,390.3519999
0.082,390.7484281
0.084,391.080225
0.086,391.3475725
0.088,391.5517933
0.09,391.6952181
0.092,391.781023
0.094,391.8130485
0.096,391.7956102
0.098,391.733309
0.1,391.6308485
0.102,391.4928666
0.104,391.3237831
0.106,391.1276695
0.108,390.9081422
0.11,390.6682794
0.112,390.410564
0.114,390.1368503
0.116,389.8483548
0.118,389.5456684
0.12,389.2287881
0.122,388.8971671
0.124,388.549778
0.126,388.1851888
0.128,387.8016475
0.13,387.397172
0.132,386.9696443
0.134,386.5169038
0.136,386.0368394
0.138,385.5274764
0.14,384.9870579
0.142,384.4141171
0.144,383.8075404
0.146,383.1666193
0.148,382.4910916
0.15,381.781169
0.152,381.0375535
0.154,380.261441
0.156,379.4545128
0.158,378.6189155
0.16,377.7572306
0.162,376.8724341
0.164,375.9678476
0.166,375.0470815
0.168,374.1139731
0.17,373.1725193
0.172,372.2268066
0.174,371.2809392
0.176,370.3389666
0.178,369.4048133
0.18,368.4822098
0.182,367.5746283
0.184,366.6852224
0.186,365.8167734
0.188,364.9716432
0.19,364.1517339
0.192,363.3584566
0.194,362.5927076
0.196,361.854854
0.198,361.1447271
0.2,360.4616257
0.202,359.8043265
0.204,359.1711036
0.206,358.5597551
0.208,357.9676365
0.21,357.3917006
0.212,356.828543
0.214,356.2744517
0.216,355.7254606
0.218,355.1774061
0.22,354.6259851
0.222,354.0668134
0.224,353.4954853
0.226,352.9076308
0.228,352.2989719
0.23,351.6653761
0.232,351.0029063
0.234,350.3078675
0.236,349.5768486
0.238,348.8067598
0.24,347.9948646
0.242,347.1388074
0.244,346.2366347
0.246,345.2868124
0.248,344.2882372
0.25,343.2402431
0.252,342.142604
0.254,340.9955319
0.256,339.7996711
0.258,338.5560901
0.26,337.2662691
0.262,335.9320869
0.264,334.5558051
0.266,333.1400512
0.268,331.6878005
0.27,330.2023573
0.272,328.6873356
0.274,327.1466392
0.276,325.5844411
0.278,324.0051637
0.28,322.4134547
0.282,320.8141653
0.284,319.2123235
0.286,317.6131081
0.288,316.0218123
0.29,314.4438122
0.292,312.8845222
0.294,311.3493474
0.296,309.8436261
0.298,308.3725666
0.3,306.9411735
0.302,305.5541608
0.304,304.2158572
0.306,302.9301019
0.308,301.7001216
0.31,300.5284066
0.312,299.4165691
0.314,298.3651988
0.316,297.3737105
0.318,296.4401858
0.32,295.5612185
0.322,294.7317686
0.324,293.9450137
0.326,293.1922372
0.328,292.4627178
0.33,291.7436678
0.332,291.0202076
0.334,290.2753859
0.336,289.490263
0.338,288.6440685
0.34,287.7144358
0.342,286.6777328
0.344,285.5094908
0.346,284.184941
0.348,282.6796889
0.35,280.9704729
0.352,279.0360914
0.354,276.8584176
0.356,274.4235448
0.358,271.723018
0.36,268.7551526
0.362,265.5263879
0.364,262.0526417
0.366,258.3605979
0.368,254.4888587
0.37,250.4888694
0.372,246.4254811
0.374,242.3770354
0.376,238.4347594
0.378,234.7013069
0.38,231.288153
0.382,228.3115925
0.384,225.88696
0.386,224.1207032
0.388,223.0998211
0.39,222.8781642
0.392,223.4589419
0.394,224.7727492
0.396,226.6503536
0.398,228.7891997
