strain,stress
0.016580311,64.4
0.017962003,56.56
0.022107081,72.24
0.026252159,84.56
0.031778929,88.48
0.058031088,95.2
0.084283247,99.68
0.110535406,102.48
0.136787565,102.48
0.163039724,102.48
0.189291883,101.92
0.215544041,100.8
0.2417962,99.12
0.268048359,98
0.294300518,96.88
0.320552677,96.32
0.346804836,94.64
0.373056995,92.96
0.399309154,91.84
0.425561313,90.16
0.451813472,88.48
0.47806563,87.36
0.504317789,86.24
0.530569948,84.56
0.556822107,83.44
0.583074266,82.32
0.609326425,81.2
0.635578584,80.64
0.661830743,80.08
0.688082902,78.96
