y_true,y_cal
58.639112895090726,53.57004295734044
62.572893419366956,57.5631314886311
64.07048073197042,60.177681511171095
65.2570033899459,61.61860046311322
63.969439734562926,62.13780444599097
62.02939305036671,61.98823239548407
60.86135976899812,61.39448346372113
59.57113751444202,60.53743616437578
58.53855405090614,59.54929151618114
58.31107972964198,58.51583655319649
56.90910745616199,57.48358179148595
55.743102711422985,56.47028504659389
55.13964347880695,55.47798085420772
54.14296587080886,54.507957597508565
53.9516129,53.57727728846595
53.27928692573107,52.73654647749183
52.41792713855293,52.08880746195061
51.731366726411835,51.80986138306126
51.57123884449878,52.17186164811657
51.41558272209845,53.576179003585935
