y_true,y_cal
132.2572220142558,130.0025690591894
145.6718843631563,140.55613396698817
156.48849997727223,150.96131487749452
166.76356665554343,160.7988231584338
175.91257911142978,169.64221993439298
182.5609211900121,177.11883270238087
187.91242113077251,182.9702745472525
191.97223686681667,187.09123675239408
193.92763159581148,189.53128121918903
194.00739473503873,190.4612153879066
193.04157894619894,190.1218213851267
191.08618421720413,188.7759294027073
188.03326318113494,186.67505761472236
184.70771056658617,184.03951015559355
181.18800005439553,181.04428120615117
177.66828954220492,177.80291420224057
174.14857903001428,174.34433245658116
170.6288684899733,170.58152732859247
167.10915784370945,166.27668690635875
163.58944730145814,161.01753895836728
160.20421047934892,154.2348635466272
157.07557891295724,145.3011509232625
154.30357892824486,133.72927708316325
150.8151841977391,119.4200996708754
146.58847368705943,102.83191614730924
143.85092106646673,84.95383145482144
141.35431581074914,67.07714861868416
139.00784213595537,50.47366501313799
136.66136846116163,36.11713656313272
134.60907898863988,24.533800327161302
133.02947369431496,15.796937024106786
