y_true,y_cal
285.2216718,272.93961354979245
291.41330441578947,276.4634479016159
291.83687593684215,278.72406343755364
290.30983087368423,279.58319948233896
288.5526447157895,278.98636762201863
281.4082771210526,276.9615907151466
266.32809010526313,273.6089230765962
249.1723744105263,269.0834319743571
237.7389405368421,263.57491719924576
233.0099134,257.2874578065337
229.11447006842104,250.42116189023423
221.05143365789473,243.15758024784458
210.0709728736842,235.6493919123252
200.5485790105263,228.014328030464
193.94958394210525,220.33290816118057
188.80826521578948,212.6493781093174
184.71606136315788,204.97517904612974
179.6037574368421,197.29425882424928
169.91231005263157,189.56950338665416
171.2961086,181.74952131960586
