strain,stress
0.00105,43.679
0.00117,50.446
0.00169,57.843
0.00201,65.886
0.00266,75.034
0.00295,83.138
0.00355,91.722
0.00382,100.86
0.00437,110.26
0.00452,118.84
0.00507,127.8
0.00549,137.66
0.00608,147.83
0.00646,157.5
0.00708,167.25
0.00749,177.54
0.00794,188.22
0.00822,197.68
0.00869,207.28
0.00912,217.76
0.00971,228.48
0.0101,238.6
0.01073,248.58
0.01115,259.69
0.01161,270.44
0.01183,280.74
0.01233,290.17
0.01261,300.76
0.01321,311.8
0.01348,321.99
0.01416,331.75
0.01451,342.92
0.01508,353.85
0.01527,363.97
0.01578,373.88
0.01609,384.69
0.01666,395.01
0.01714,405.07
0.01777,414.71
0.01833,424.78
0.01893,434.46
0.0194,442.9
0.01996,450.94
0.02063,459.18
0.02138,467.13
0.02201,473.77
0.02287,479.7
0.02354,485.95
0.02434,491.71
0.0249,496.2
0.02571,499.79
0.02624,503.79
0.02707,507.47
0.02759,510.48
0.02856,512.65
0.02926,515.04
0.03016,517.26
0.03075,519.01
0.03155,519.58
0.03214,520.61
0.03285,521.69
0.0335,522.13
0.03431,522.12
0.03503,522.23
0.03576,522.33
0.03645,522.42
0.03702,521.78
0.03762,522.09
0.0382,521.59
0.03874,520.85
0.03938,520.35
0.03979,520.14
0.04069,520.28
0.04117,519.96
0.04183,519.29
0.04223,519.07
0.04281,519.49
0.04315,519.21
0.04382,518.37
0.04424,518.27
0.04489,518.71
0.04531,518.93
0.04598,518.17
0.04636,518.54
0.04687,519.26
0.04719,519.53
0.04771,519.34
0.0482,519.8
0.04881,520.7
0.04926,521.41
0.04982,521.38
0.05029,522.82
0.05077,524.11
0.05114,524.67
0.05163,524.71
0.05208,525.61
0.05266,526.98
0.05313,527.69
0.05373,527.66
0.05416,528.63
0.0547,530.04
0.055,530.83
0.05557,531.2
0.05593,532.41
0.05661,533.53
0.05697,534.45
0.05764,534.78
0.05807,536.2
0.05876,537.63
0.05898,538.47
0.05956,538.66
0.05994,539.89
0.06056,541.31
0.06091,541.75
0.06158,541.94
0.06208,543.02
0.06265,544.61
0.06301,545.33
0.06347,545.14
0.06394,546.36
0.06449,547.82
0.06492,548.47
0.06556,548.53
0.06606,549.63
0.06666,551.07
0.06699,551.89
0.06759,551.88
0.0679,553.36
0.06853,554.46
0.06883,555.13
0.06959,555.51
0.06997,556.91
0.07073,558.39
0.07099,558.85
0.07161,558.88
0.07195,560.27
0.07258,561.53
0.07287,561.92
0.07355,562.18
0.07405,562.87
0.07469,564.33
0.0751,564.69
0.07569,564.81
0.07612,566.02
0.07669,567.16
0.07703,567.45
0.07762,567.37
0.07813,568.04
0.0788,568.88
0.07915,569.1
0.07981,568.96
0.08015,570.21
0.08077,571.39
0.08097,571.63
0.0817,571.29
0.08207,572.08
0.08284,572.95
0.0831,572.91
0.08383,572.84
0.08414,573.55
0.08476,574.65
0.08498,574.38
0.08563,574.49
0.08605,575.25
0.08675,576.17
0.08706,576.63
0.0877,576.39
0.08809,577.5
0.08851,578.37
0.08859,578.81
0.089,578.7
0.08934,580.01
0.09,581.18
0.09034,582.04
0.09107,582.86
0.09159,584.24
0.0923,585.87
0.09253,586.46
0.09333,586.72
0.09372,587.75
0.09447,589.07
0.09477,589.02
0.09566,588.91
0.09604,589.35
0.09678,589.89
0.09699,589.48
0.09773,589.19
0.09808,589.74
0.09878,590.4
0.09912,590.25
0.09985,589.99
0.10038,590.36
0.10102,590.9
0.10129,590.51
0.1019,590.28
0.10236,590.62
0.10296,591.19
0.10332,591.01
0.10404,590.39
0.10453,590.2
0.1052,591.02
0.10545,591.66
0.10616,590.14
0.10644,589.7
0.10718,590.8
0.10736,591.62
0.10816,590.04
0.10856,589.3
0.1093,590.82
0.10949,591.97
0.11024,590.61
0.11054,590.59
0.11116,592.05
0.11143,593.3
0.11216,591.82
0.11265,591.25
0.11328,592.67
0.1136,593.54
0.11417,592.17
0.11458,591.53
0.1151,592.89
0.11541,593.35
0.11606,592.56
0.11652,592.41
0.11718,593.59
0.11749,594.44
0.11817,592.89
0.11847,592.67
0.11912,594.38
0.11929,596.02
0.12003,593.84
0.12043,592.7
0.12119,594.85
0.12146,597.69
0.12222,595.08
0.12254,592.78
0.12317,595.25
0.12337,597.74
0.12405,595.07
0.12449,592.78
0.12521,595.52
0.12553,596.31
0.12621,595.14
0.12666,594.7
0.12718,595.7
0.12749,596.99
0.12808,594.85
0.12857,593.19
0.12923,595.3
0.12959,598.18
0.13032,594.68
0.13074,591.96
0.13135,594.95
0.1315,598.48
0.13225,593.9
0.13261,590.18
0.13333,593.5
0.13353,596.66
0.13439,593.06
0.13475,589.92
0.13538,593.34
0.13554,596.23
0.13623,592.74
0.13664,589.25
0.13728,592.38
0.13762,595.27
0.13835,591.88
0.13885,588.63
0.13937,592.02
0.13965,594.12
0.14026,591.11
0.14072,588.48
0.14132,591.01
0.14169,594.25
0.14239,590.69
0.14288,587.4
0.14351,590.62
0.14372,593.54
0.1444,590.1
0.14472,586.99
0.14541,590.18
0.14566,593.18
0.14651,589.72
0.14691,586.56
0.14762,589.56
0.14777,592.7
0.14851,588.77
0.14882,585.39
0.14945,588.53
0.14971,591.48
0.15045,587.74
0.15097,584.1
0.15155,587.42
0.15188,591.21
0.15248,587.34
0.15295,583.03
0.15344,586.79
0.15374,590.33
0.15439,586.53
0.15496,582.33
0.15559,586.06
0.1559,589.99
0.15656,585.8
0.1569,581.54
0.15751,585.37
0.15775,589.48
0.15847,585.08
0.15884,580.87
0.15959,584.67
0.15979,588.99
0.16059,584.41
0.16097,579.95
0.16151,583.73
0.1617,587.51
0.16242,583.46
0.16288,579.43
0.16351,582.99
0.16389,586.79
0.16452,582.79
0.16499,578.57
0.16545,581.93
0.16579,585.73
0.1664,581.69
0.16694,577.58
0.16753,581.4
0.16788,584.94
0.1686,581.09
0.16902,577
0.16961,580.63
0.16979,584.24
0.17054,579.93
0.17092,575.39
0.1716,579.01
0.17181,582.68
0.17266,578.3
0.17304,573.46
0.17365,577.2
0.17384,581.05
0.17456,576.8
0.17497,572.24
0.17556,576.15
0.17593,579.91
0.1766,575.5
0.17713,571.07
0.17764,574.6
0.17801,578.24
0.17855,573.99
0.17902,569.5
0.17958,573.07
0.17998,576.55
0.18068,571.96
0.18113,567.33
0.18173,570.82
0.18199,574.8
0.18268,570.27
0.18307,565.69
0.18369,569.46
0.18394,573.28
0.18475,568.48
0.18516,564
0.18585,567.56
0.18603,570.88
0.18674,566.15
0.18709,561.62
0.18768,564.74
0.18795,567.72
0.18864,563.8
0.18914,560.09
0.1897,563.49
0.19008,566.65
0.19071,562.78
0.19119,558.66
0.1917,562.29
0.19205,566.07
0.19269,561.63
0.19318,556.92
0.19376,560.78
0.19411,564.47
0.19477,559.64
0.19511,555.14
0.19573,558.82
0.19599,562.59
0.19671,558.31
0.19708,553.99
0.19775,557.69
0.19801,561.73
0.19875,557.25
0.1991,552.77
