strain,stress
0.07302,147.31
0.07323,146.63
0.07339,146.42
0.07361,146.54
0.07379,145.8
0.074,146.2
0.07423,146.32
0.07439,145.96
0.0746,146.21
0.07481,146.17
0.07499,145.79
0.07519,146.61
0.07541,145.97
0.07558,145.62
0.07583,145.03
0.076,145.25
0.07619,145.46
0.07641,146.14
0.07661,145.79
0.0768,145.3
0.07701,145.23
0.07718,145.73
0.07741,145.46
0.0776,144.6
0.07776,145.49
0.07802,146.3
0.07821,145.46
0.07838,144.89
0.07862,145.25
0.0788,144
0.07899,144.75
0.07923,144.41
0.07941,144.31
0.07961,143.7
0.07981,143.47
0.07999,144.07
0.08022,143.96
0.08042,143.47
0.08059,143.34
0.08082,143.44
0.08101,142.91
0.08119,143.05
0.08142,143.41
0.08161,143.06
0.0818,143.26
0.08203,142.96
0.0822,142.19
0.08238,142.77
0.08261,143.34
0.08281,143.46
0.08301,142.84
0.08325,142.59
0.0834,141.6
0.08361,141.65
0.08382,142.19
0.08399,141.73
0.08422,141.74
0.0844,141.66
0.0846,141.13
0.08482,141.28
0.08501,141.43
0.0852,141.07
0.08542,141.04
0.08559,140.75
0.0858,141.68
0.08604,141.12
0.08619,141.42
0.0864,141.34
0.08664,140.83
0.08678,140.45
0.08702,141.13
0.08722,141.39
0.0874,140.56
0.08764,140.18
0.0878,139.82
0.088,139.98
0.08824,140
0.0884,139.61
0.0886,140.24
0.08882,140.21
0.08899,140.6
0.0892,140.79
0.08942,140.13
0.08961,139.91
0.08982,138.98
0.09003,138.93
0.0902,138.36
0.0904,139.06
0.09062,138.99
0.0908,139.13
0.09103,138.73
0.09119,138.4
0.09141,138.42
0.09163,138.46
0.0918,138.67
0.092,139.07
0.09224,138.61
0.0924,137.95
0.09261,138.05
0.09283,138.65
0.09302,137.78
0.09322,137.42
0.09342,137.92
0.09361,137.56
0.09384,137.88
0.09401,137.07
0.0942,137.69
0.09445,137.38
0.09462,137.15
0.0948,137.28
0.09503,137.79
0.09523,137.39
0.09542,136.86
0.09562,136.94
0.09581,136.87
0.09603,136.9
0.09624,137.11
0.09642,136.21
0.09661,136.15
0.09681,136.58
0.09701,135.76
0.09722,136.21
0.09739,135.71
0.09761,135.82
0.09782,135.26
0.09797,136.01
0.0982,136.31
0.0984,135.94
0.09855,136.25
0.09877,137.37
0.09899,137.75
0.09918,137.48
0.09939,137.52
0.09962,137.48
0.09978,136.09
0.1,136.73
0.10023,136.22
0.10041,135.14
0.10065,134.95
0.10082,132.9
0.10102,132.68
0.10122,131.85
0.10139,132.14
0.10161,132.63
0.10182,133.25
0.102,132.94
0.10219,132.96
0.10241,133.74
0.10259,133.7
0.10281,133.71
0.10301,133.98
0.10319,133.61
0.10341,133.89
0.1036,132.86
0.10379,131.98
0.10399,131.83
0.10416,132.01
0.10436,132.61
0.10461,132.36
0.10476,132.03
0.10498,132.12
0.10518,132.92
0.10537,133.54
0.10559,133.56
0.10579,133.89
0.106,133.83
0.10621,133.39
0.10642,133.02
0.10661,131.46
0.10682,131.78
0.10702,130.8
0.10719,131.16
0.10741,131.63
0.10759,132.09
0.10782,132
0.108,130.9
0.10819,131.54
0.10841,131.69
0.10863,131.28
0.1088,130.06
0.10898,129.86
0.10919,130.48
0.10937,130.51
0.10959,129.82
0.10978,130.45
0.10998,130.59
0.11019,130.64
0.11038,130.21
0.11057,130.49
0.11082,130.45
0.11101,129.29
0.11117,128.61
0.1114,129.36
0.1116,129.78
0.11179,130.32
0.11202,130.52
0.11221,129.88
0.11242,129.43
0.11262,129.1
0.1128,129.35
0.11304,129.19
0.11323,128.62
0.11342,128.49
0.11363,127.88
0.1138,127.19
0.11399,128.02
0.11422,127.48
0.11439,127.61
0.11459,127.82
0.11481,127.61
0.11496,127.94
0.1152,128.1
0.11541,127.76
0.11558,126.96
0.11578,127.32
0.11598,127.92
0.11618,127.21
0.11639,127.32
0.11657,127.71
0.11677,127.73
0.117,128.14
0.11719,127.3
0.11738,128.06
0.11761,128.08
0.11781,128.32
0.11801,127.28
0.1182,127.4
0.11841,127.36
0.1186,126.61
0.1188,127.08
0.119,126.53
0.1192,126.22
0.11939,126.46
0.11962,126.28
0.11981,125.49
0.12,125.77
0.12023,124.99
0.12042,124.3
0.1206,124.87
0.12079,125.18
0.12102,124.37
0.12121,124.48
0.1214,124.84
0.12161,125.54
0.1218,125.33
0.12201,124.73
0.12219,125.2
0.12238,125.71
0.12262,125.76
0.12283,124.8
0.123,124.01
0.12321,123.89
0.1234,124.14
0.1236,123.87
0.12378,124.23
0.12399,124.57
0.1242,123.87
0.12439,124.03
0.1246,124.67
0.1248,123.8
0.12502,123.68
0.12516,122.98
0.12539,124.12
0.12558,124.52
0.12579,124.23
0.126,123.95
0.12618,123.73
0.1264,123.99
0.1266,123.31
0.12677,123.34
0.12699,123.99
0.1272,124.17
0.1274,123.59
0.12761,123.12
0.1278,122.93
0.12798,123.53
0.12822,122.7
0.12842,123.13
0.1286,122.81
0.12884,122.64
0.12899,122.87
0.1292,122.51
0.12943,123.17
0.1296,122.98
0.12981,122.9
0.13003,122.14
0.13017,122.16
0.13038,122.41
0.13062,122.38
0.13077,121.81
0.13096,122.14
0.13119,122.6
0.1314,122.17
0.13159,121.17
0.1318,121.96
0.13198,121.41
0.13223,121.25
0.1324,121.23
0.1326,121.71
0.13283,121.47
0.13301,120.72
0.13319,121.3
0.13342,121.2
0.13361,120.74
0.13379,119.97
0.13397,120.82
0.13417,121.53
0.13438,120.9
0.13461,120.71
0.13479,119.75
0.135,119.19
0.13522,119.73
0.1354,118.48
0.13562,119.18
0.13582,119.16
0.136,118.81
0.13619,118.74
0.13639,119.59
0.13657,119.34
0.13681,119.54
0.137,118.92
0.13716,118.74
0.1374,119.28
0.13758,119.58
0.13783,120
0.13803,119.27
0.1382,118.47
0.13842,118.68
0.13861,119.21
0.13881,119.6
0.13903,119.29
0.13922,118.36
0.13939,119.03
0.13963,118.47
0.13979,118.68
0.14,119.37
0.14024,119.53
0.14042,118.51
0.14059,118.04
0.14083,118.05
0.14102,117.86
0.14125,117.45
0.14147,116.79
0.14159,116.4
0.14183,117.4
0.14204,117.29
0.14222,116.55
0.14244,116.57
0.14261,116.77
0.14282,116.69
0.14302,115.66
0.1432,116.5
0.14338,116.75
0.14362,117.2
0.14381,116.07
0.14399,115.53
0.14421,116.72
0.14442,116.77
0.14463,116.88
0.14484,115.98
0.145,115.67
0.14522,116.53
0.14543,116.89
0.14562,116.78
0.14584,115.96
0.14602,115.54
0.1462,116.39
0.1464,116.41
0.14663,116.17
0.14679,115.37
0.14701,115.67
0.14718,115.5
0.14739,115.52
0.14761,114.78
0.14778,114.59
0.148,115.39
0.14823,115.22
0.14842,115.85
0.14863,114.93
0.14882,114.56
0.149,115.2
0.14921,115.18
0.14941,114.77
0.14959,115.05
0.1498,114.9
0.15001,114.69
0.15018,113.87
0.15038,114.39
0.15058,114.63
0.15079,114.6
0.151,114
0.15119,113.76
0.15139,113.29
0.1516,112.71
0.15179,113.66
0.15202,114.21
0.15221,113.84
0.15241,113.81
0.15261,112.88
0.1528,113.32
0.15299,113.51
0.15322,113.67
0.1534,113.39
0.15358,113.25
0.15382,113.13
0.15399,112.34
0.15416,113.42
0.15441,113.8
0.15461,112.99
0.15476,112.76
0.15499,113.37
0.15518,113.25
0.15537,112.74
0.1556,112.5
0.15577,112.17
0.15597,112.34
0.1562,112.52
0.15636,112.27
0.1566,112.25
0.15679,112.05
0.15699,111.97
0.15719,111.78
0.15739,111.65
0.15758,112.18
0.1578,111.9
0.15802,111.83
0.15819,111.77
0.1584,111.92
0.1586,111.45
0.15877,111.35
0.159,111.61
0.15919,111.9
0.15939,111.81
0.15961,111.32
0.15977,110.75
0.15998,110.89
0.16018,110.71
0.16038,110.6
0.16059,111.29
0.16077,110.74
0.16098,110.88
0.16119,110.72
0.1614,110.78
0.16158,109.98
0.1618,110.23
0.16199,110.06
0.16216,109.73
0.16238,110.38
0.16259,110.01
0.16277,109.72
0.16299,109.72
0.16318,109.8
0.16337,109.42
0.16358,109.53
0.16378,109.72
0.16399,109.72
0.1642,109.14
0.16437,109.57
0.1646,109.59
0.16481,109.6
0.16498,109.21
0.16522,109.2
0.1654,109.01
0.1656,109.25
0.16582,109.32
0.166,108.72
0.16619,108.97
0.16643,109.31
0.16661,109.06
0.1668,108.79
0.16701,107.97
0.16719,107.76
0.16735,107.96
0.1676,109.21
0.16779,109.36
0.16799,108.95
0.1682,108.76
0.1684,108.24
0.1686,108.42
0.16883,108.17
0.16902,107.82
0.16922,107.26
0.1694,107.9
0.16961,108.05
0.16981,107.33
0.17001,107.28
0.17019,107.55
0.17041,107.37
0.1706,107.1
0.17077,106.63
0.17102,107.27
0.17122,107.16
0.17143,107.18
0.17163,107.26
0.17182,106.67
0.17204,106.87
0.17222,106.36
0.17241,107.05
0.17262,106.55
0.17281,106.7
0.17301,106.97
0.17321,106.54
0.17342,106.42
0.17359,106.38
0.17381,106.94
0.17402,107.22
0.1742,107.12
0.17441,107.22
0.17464,107.02
0.17481,106.71
0.17505,107.05
0.17523,106.91
0.17543,106.88
0.17564,106.29
0.17583,106.39
0.17602,106.18
0.17623,106.06
0.17639,105.52
0.17661,106.12
0.17681,105.71
0.17699,105.26
0.17719,105.52
0.17743,105.54
0.1776,104.66
0.17782,105.13
0.17801,104.87
0.17821,105.31
0.17841,105.08
0.17863,105.31
0.17881,104.99
0.179,104.22
0.17919,104.19
0.17937,104.03
0.17961,104.51
0.17979,103.95
0.17999,103.95
0.1802,103.61
0.18039,103.52
0.1806,103.76
0.18081,103.68
0.18101,103.7
0.18121,103.61
0.18141,103.45
0.18159,103.22
0.18179,102.73
0.18199,102.57
0.18217,102.57
0.18239,102.97
0.18262,103.43
0.18279,103.23
0.18301,103.62
0.18321,103.42
0.1834,103.78
0.18363,103.45
0.18383,103.31
0.18402,102.92
0.18421,102.61
0.18441,102.76
0.18459,102.65
0.1848,102.63
0.18499,102.63
0.18517,102.26
0.1854,102.46
0.18558,102.26
0.18579,102.68
0.18601,102.58
0.1862,102.49
0.18642,103.04
0.18662,102.65
0.18679,103.34
0.18703,103.5
0.18724,103.26
0.18741,102.63
0.18761,102.55
0.18783,102.49
0.18798,102.22
0.1882,102.45
0.18841,102.08
0.18858,101.63
0.1888,101.92
0.18901,101.64
0.18919,101.74
0.18933,103.21
0.18961,105.64
0.18981,105.89
0.19,105.98
0.19024,105.79
0.19043,103.66
0.19061,102.57
0.1908,102.25
0.191,102.27
0.1912,101.69
0.1914,101.32
0.19159,101.16
0.19181,101.2
0.192,100.66
0.19222,100.68
0.19242,100.11
0.19261,100.14
0.19281,100.01
0.19302,100.09
0.1932,100.05
0.1934,99.831
0.19361,100.07
0.19378,99.479
0.19399,99.921
0.19418,99.836
0.19437,99.799
0.1946,99.517
0.19477,99.686
0.195,100.07
0.19522,99.166
0.19541,98.301
0.1956,98.621
0.19582,98.31
0.196,98.466
0.19619,98.702
0.19641,98.971
0.1966,98.683
0.19679,98.662
0.197,98.97
0.19719,98.731
0.19739,98.8
0.19759,98.497
