y_true,y_pred,y_cal
50.23676,52.00995,52.13804226820509
50.52713,51.97869,52.87497551243378
50.77248,52.532024,53.31821778172536
50.833405,52.553375,53.51432753778512
50.75059,52.33718,53.51368590875375
50.570847,52.046272,53.36644306784347
50.362007,51.739456,53.11894650142615
50.116776,51.45276,52.8110827147264
49.805702,51.200493,52.47479240966564
49.493095,50.96777,52.13378885580247
49.175346,50.736656,51.80430395877644
48.84987,50.48796,51.4965676133232
48.565037,50.20934,51.216706069444285
48.320896,49.910103,50.968797527626734
48.105766,49.61248,50.75690798172565
47.89934,49.3484,50.58701538957451
47.6716,49.15832,50.468799004854624
47.485252,49.091984,50.41731919907559
47.392147,49.206985,50.45464353562113
47.36492,49.566765,50.61148988874342
