y_true,y_cal
104.11882366614792,105.3292341824455
116.15792245418146,117.66582995646642
124.52825483111494,126.9986038029131
131.22847641573725,132.73662189151847
135.34170356943937,135.0615793802205
137.01966757240402,134.78287360631876
137.2,132.88284046270536
135.98072019135245,130.13647813863844
133.42843487761982,127.01145847237075
130.62058170962945,123.74821744078073
128.37350415447838,120.46837593940494
125.03124655148916,117.24722073701781
122.26314405880214,114.14732275993711
120.04088645581292,111.2267706144833
117.57091416655635,108.53349091776177
116.07047090171848,106.0920191571695
114.83548475135842,103.88517713389369
113.60049860673014,101.83125165973621
112.36551246210183,99.75843291073056
111.28526315873677,97.38449399890268
