y_true,y_pred,y_cal
83.74484,83.49299,85.79902148612715
85.63601,86.45599,91.33860877217128
87.24641,89.02811,94.403936266005
87.6038,90.41096,95.4782979152654
86.997925,90.40606,95.13247700278129
85.72933,89.137505,93.89003880821951
84.05332,87.15342,92.16365208077848
82.06712,84.98211,90.24376107389465
80.005905,82.8958,88.3150607661623
78.06559,80.96609,86.48231125939333
76.34809,79.19706,84.79521238099575
74.725845,77.571556,83.26813239181818
72.874016,76.07588,81.89385041388515
70.99455,74.72284,80.65187540587733
69.48081,73.534134,79.51221773865036
68.26107,72.53708,78.43532846319552
67.20665,71.76585,77.36863722006785
66.41247,71.26437,76.23990115304439
65.921684,71.0867,74.9475659259034
65.667404,71.29638,73.34874181611437
