y_true,y_cal
100.534375,100.81143700233798
98.80646929824562,101.41882406200077
98.5,101.37273966688521
97.56030701754386,100.30439648709482
95.13459429824562,98.19137830123972
91.46948099415205,95.2344008835496
88.53609283625731,91.73710987842259
85.73684210526315,88.01484326043679
83.0500730994152,84.33695260669269
80.46600877192982,80.89721923289696
77.10690789473685,77.80486219015647
74.0398391812866,75.08914440223579
71.24058845029242,72.71173675824909
68.8530701754386,70.58272016439022
66.14208698830413,68.57814834225005
62.31140350877194,66.55880252997987
58.95230263157897,64.3905906229247
55.74433479532166,61.96684324413235
52.945084064327496,59.231820189076615
50.41666666666665,56.203681130313164
