y_true,y_cal
82.05562516371914,88.02359431916148
86.484999997,92.32195260555179
88.06263155944342,95.06345384930113
87.88263157750856,95.90907565159205
87.53092105415033,95.09661445550415
85.67526313247565,93.28647151022223
84.44249999448454,91.12546666757925
81.96631580993684,88.99887282676735
79.98039472505181,87.05050498632623
77.95421052151974,85.28973230732616
76.10328949166941,83.67609285433616
75.09789473588289,82.16559022573887
72.93789473876053,80.7308137093914
70.59315787507303,79.36668948940677
69.38763157271251,78.08906052168035
68.24842105774738,76.93003395096883
67.05118420632976,75.93219716612501
66.19736841689605,75.14277196319007
65.88,74.60814266005411
65.51052631674868,74.36875389415913
