strain,stress
0.005357143,43.2
0.005357143,41.04
0.007142857,45.72
0.007142857,43.56
0.010714286,50.4
0.042857143,54.36
0.076785714,54.72
0.110714286,55.8
0.144642857,56.52
0.178571429,57.24
0.2125,57.6
0.246428571,58.32
0.280357143,58.68
0.314285714,58.68
0.348214286,58.68
0.382142857,58.68
0.416071429,58.32
0.45,57.96
0.483928571,57.6
0.517857143,56.88
0.551785714,56.88
0.585714286,56.16
0.619642857,56.16
0.653571429,55.8
0.6875,55.44
0.721428571,55.08
0.755357143,55.08
0.789285714,54.72
0.823214286,54.72
