y_true,y_cal,y_pred
104.11882366614792,106.2130949542993,111.6653
119.5260664849859,120.77242812137172,122.47368
129.54440440033505,130.44754361763427,127.85805
135.62238223867303,134.6222915241223,131.6395
137.2,134.15443692482026,132.96825
136.25490303106318,130.80172195194933,131.73457
132.8670775391524,126.17175262276156,128.92268
129.61013850038813,121.23002574192245,125.40366
125.3680609545696,116.42611413904268,121.712036
121.75792245418148,111.95170989980086,118.110466
118.4690859081042,107.90102285049072,114.75317
116.07047090171848,104.33596208320816,111.71422
114.38639888058452,101.30266484762826,109.018364
112.70232686518229,98.82945120689176,106.69061
111.22912742489002,96.91923522667874,104.74664
109.89418283437784,95.54033567111104,103.20023
108.9850554094878,94.61591029702312,102.07268
108.1430194017867,94.01140246402012,101.399536
107.3009833940856,93.52022512105104,101.23309
106.45894738638448,92.85004149696792,101.64263
