y_true,y_cal
65.93931972752044,77.59504311515015
81.31015677558102,81.03145937491138
87.53707528552381,81.2858069888611
87.41974348573068,79.83784622473637
83.34419255501871,77.71664257096144
77.27966761559306,75.48344113705555
71.26252015096992,73.40372905809713
65.86110412189876,71.57448454258513
61.40373851553428,69.99310704341674
58.09392117048274,68.59395121506574
56.15203348879554,67.27179796842735
54.944860649648646,65.90326404978721
54.244617341897374,64.37151406006221
53.828213927511506,62.59481711497566
53.446394116474785,60.5546692721741
52.8111021824179,58.31548515905587
51.886825869904946,56.0271678860793
50.68815551950566,53.904011182103
49.267106279936904,52.17132884201221
47.768310926430516,50.94263501559626
