y_true,y_pred,y_cal
96.12305,96.62574,97.2590035468692
94.31892,95.41948,98.7735185351368
92.7812,95.3721,99.79236893350536
91.990944,94.23771,99.94931291817508
91.13213,92.44434,99.18482211977094
89.57714,90.43367,97.6452201956376
87.331,88.3714,95.57909641221606
84.86899,86.25774,93.25564937929668
82.24478,84.05738,90.9112481918918
79.21791,81.74765,88.72039121809031
76.14532,79.345924,86.78458393885533
73.221664,76.88237,85.13312376460955
70.46071,74.3943,83.73113244293788
67.96771,71.94012,82.49181222344556
65.56655,69.58028,81.29152835491345
62.973984,67.373535,79.98754546980858
60.31141,65.37714,78.43873926315185
57.72028,63.649155,76.52928301696598
55.30344,62.248608,74.19437635012646
53.685455,61.23507,71.44600185643417
