strain,stress
0.024635761589403993,72.52
0.03973509933774836,79.24000000000001
0.05642384105960266,86.24
0.07072847682119209,92.96000000000001
0.08423841059602649,100.24000000000001
0.096158940397351,106.96000000000001
0.10807947019867549,113.96
0.12158940397350992,120.96
0.13748344370860927,127.96000000000001
0.15735099337748343,133.84
0.1772185430463576,137.20000000000002
0.19708609271523178,138.04
0.21695364238410594,136.64000000000001
0.2368211920529801,134.12
0.2566887417218543,130.48000000000002
0.27655629139072846,126.56000000000002
0.2964238410596026,122.92000000000002
0.31629139072847684,119.56000000000002
0.336158940397351,116.47999999999999
0.35602649006622517,113.4
0.37589403973509933,110.88000000000002
0.3957615894039735,108.64000000000001
0.41562913907284765,106.68000000000002
0.4354966887417218,104.72000000000003
0.45536423841059603,103.04000000000002
0.47523178807947014,101.36000000000001
0.49509933774834436,99.96000000000001
0.5149668874172185,98.84000000000003
0.5348344370860927,97.72000000000001
0.5547019867549667,96.60000000000002
0.5745695364238411,95.76000000000002
0.5944370860927152,95.20000000000002
