y_true,y_pred,y_cal
78.58318,78.24277,74.98135601293278
81.081985,82.45221,80.79627680674835
84.041985,87.10995,87.18973055714277
86.0623,88.82664,91.76792475307334
86.88848,89.484886,92.8973921399364
86.627884,88.68751,91.3586048207826
85.50912,86.695076,88.85818471856264
83.91281,84.183975,86.32195904173352
82.03175,81.80044,83.97875791386507
80.02798,79.84787,81.820151949328
78.16417,78.30716,79.81585004541049
76.53897,77.03304,77.9676602955555
75.09436,75.89032,76.30724029942705
73.875336,74.80807,74.87983016491489
72.945145,73.76299,73.72625045684292
72.2453,72.76752,72.86566204108581
71.61653,71.86089,72.27863454317024
71.03698,71.103004,71.8892904983532
70.62921,70.56797,71.5458474200679
70.41404,70.33844,71.00113004311581
