y_true,y_cal
82.05562516371914,89.40677503211334
86.484999997,95.3500942452487
88.06263155944342,98.67239405578773
87.88263157750856,99.35505006223276
87.53092105415033,98.25626055054586
85.67526313247565,96.31832948102438
84.44249999448454,94.0522920777169
81.96631580993684,91.64404945660893
79.98039472505181,89.20907693859982
77.95421052151974,86.91494220415346
76.10328949166941,84.96697429089379
75.09789473588289,83.5039941041273
72.93789473876053,82.41472337906104
70.59315787507303,81.05057388134198
69.38763157271251,77.90519438408893
68.24842105774738,70.81853466866781
67.05118420632976,58.60133124951066
66.19736841689605,42.915734920474215
65.88,27.456366143912117
65.51052631674868,15.28273190504601
