y_true,y_cal
45.24333333333333,40.703435233956576
45.36,39.660139268464995
45.36,38.486103725227615
44.34807017543859,37.330807256132914
43.71315789473684,36.37854202800675
42.86456140350878,35.70273261661524
42.262807017543864,35.27200818277755
41.72000000000001,35.01112580196106
41.38964912280702,34.846667351617974
41.16,34.72861574816387
40.97578947368421,34.63587596587082
40.347017543859664,34.57301274695364
40.18614035087721,34.5627638521208
39.760000000000005,34.63689686146191
39.760000000000005,34.82659652317564
39.59052631578948,35.15254799706023
38.92000000000004,35.61411726384425
38.92000000000004,36.17662543693886
38.92000000000004,36.755991174102085
38.92000000000004,37.20155023778654
