y_true,y_cal
58.66906833056543,58.457431047043656
65.36205885227864,63.93764642531152
70.36736515474158,68.23919086404304
74.48320208890698,71.52525533232236
78.43309781140607,73.99296997201583
80.85981622742544,75.83600617506895
82.57156636266198,77.22189412497119
83.73527491875163,78.28057760978965
84.89052092595405,79.10094651893881
86.46762667095021,79.73294159297497
87.23847900265223,80.19369231069247
87.39635580313227,80.47676409763027
87.21854279921875,80.56392939962394
87.1834030707747,80.43903732189843
86.34812058881276,80.10363597962179
85.13916410294472,79.59399573161824
84.17670383442531,78.99900236811517
83.01485199448462,78.47807502459446
82.35693137231738,78.27830448432752
81.22274182653629,78.75148105245364
