y_true,y_pred,y_cal
322.7328,324.8388,330.3833163796932
326.30457,329.21326,335.9711589456281
330.27997,334.14804,340.0733444161876
332.86282,337.28445,342.5831319944803
334.16495,338.30353,343.4921343713504
334.64554,337.8765,342.8822082956823
334.6141,336.34097,340.9084157411667
334.21582,334.02243,337.7767455542764
333.46844,331.17285,333.7202025045952
332.30237,327.92587,328.9761339239208
330.59985,324.41046,323.7666383263956
328.23526,320.6784,318.28289677805424
325.11475,316.7143,312.6734843604591
321.21564,312.5373,307.0362423078802
316.62564,308.14505,301.4131262490407
311.58307,303.52744,295.78754710984003
306.5162,298.70496,290.08401039151306
302.06616,293.76688,284.1702268808877
298.9651,288.89893,277.8621680874612
297.538,284.40073,270.93260877409176
