y_true,y_pred,y_cal
140.2548,135.87311,131.90030498373986
149.22774,147.82861,145.2900879246887
156.60089,152.36339,148.13268813773874
157.90262,150.3686,144.8037939855002
155.46642,144.66077,138.74973332474767
151.14137,138.88083,131.89916898438122
145.18115,133.15115,125.23492875010903
137.6842,127.49123,119.21802154507428
129.32394,121.54678,114.00733636327332
120.94223,115.293655,109.5773404256982
113.19183,109.116066,105.78961046466728
106.45407,103.45647,102.44314154105928
100.65401,98.41491,99.3156898697614
95.44812,93.857895,96.20184382420624
90.671036,89.63467,92.94816023271436
86.439964,85.68763,89.48108204855214
82.85575,82.04099,85.82086930595341
79.7655,78.75399,82.07568441365282
77.082016,75.89856,78.413565276721
75.30571,73.54793,75.01287990762326
