Temperature (K),Strain rate (s^-1),MSE_pred,MSE_cal
523,0.001,32.19152957904348,78.55381594828951
573,0.001,2.222784956519104,1.9858123418610927
623,0.001,1.1806632160155353,1.1835094455082102
673,0.001,4.643089116038299,6.360553017758942
523,0.01,91.12057349415315,161.55975962543937
573,0.01,5.945164177136402,7.5602601002475085
623,0.01,1.5185205465225275,5.073617855941354
673,0.01,2.455447113725772,4.093216750588065
523,0.1,182.90245317406908,346.44636945529896
573,0.1,17.650893125080238,131.4834792143521
623,0.1,0.4758065672676238,33.93296099716416
673,0.1,6.415529499837997,27.82115762582084
523,1.0,237.08336326865373,222.04026381171238
573,1.0,26.02270330974717,107.15288359370757
623,1.0,9.882699668863387,44.85713094208542
673,1.0,1.6186680568147138,15.223822810897172
