y_true,y_cal
34.2,33.389427072724374
34.2,33.11601311762909
34.2,32.92096699486195
34.2,32.80251201151514
33.90975623446313,32.74776524455649
34.09219944164853,32.740365265124396
34.2,32.76416639387289
34.02388919500605,32.80472623327077
33.84,32.84965937645414
33.84,32.88846108224733
33.84,32.91212817034286
33.84,32.91275160648197
33.84,32.88317054985068
33.84,32.81672849456043
33.570199442766906,32.70714261622516
33.24824376386855,32.548481412923884
32.53886426327069,32.33524208566187
31.728664823290472,32.06252810524413
31.32,31.726347623042336
31.32,31.324078993123926
