Temperature (K),Strain rate (s^-1),RMSE_pred,RMSE_cal
523,0.001,40.39154035,144.5505845
673,0.001,11.97352654,15.90947171
523,0.01,103.0741624,125.3940922
673,0.01,0.939296665,2.733789359
523,0.1,51.11811315,165.3076253
673,0.1,0.533609171,36.67793507
523,1,356.0872506,116.4794835
673,1,23.66644599,1.533227508
