Temperature (K),Strain rate (s^-1),RMSE_pred,RMSE_cal
523,0.001,18.37971621168849,0.8938054509466248
573,0.001,15.250932845917012,5.818113579149257
623,0.001,8.291048395516736,0.8871183073180232
673,0.001,17.825208648536197,0.7463990476398951
523,0.01,89.74792129038026,18.781747066235972
573,0.01,35.756112958866666,7.002243489825434
623,0.01,14.512960434871198,1.2982103921436337
673,0.01,5.3579110881621235,4.29206954435364
523,0.1,810.8657559112273,508.050085725559
573,0.1,430.9769489361246,240.5037405204004
623,0.1,134.3264242123492,64.29687803011875
673,0.1,66.4907531212539,26.011965460485413
523,1.0,153.9883834559989,1.4198932514098843
573,1.0,68.39493169239586,26.23633963012095
623,1.0,19.743049922897875,5.205384940766454
673,1.0,13.378949382578465,0.2939011921102544
